STRING ID,DESCRIPTION,ENGLISH,FRENCH / FRANÇAIS,SPANISH / ESPAÑOL,GERMAN / DEUTSCH,ITALIAN / ITALIANO,PORTUGUESE / PORTUGUÊS (BR),PORTUGUESE / PORTUGUÊS (PT),RUSSIAN / РУССКИЙ,GREEK / ΕΛΛΗΝΙΚΑ,TURKISH / TÜRKÇE,DANISH / DANSK,NORWEGIAN (NB) / NORSK BOKMÅL,SWEDISH / SVENSKA,DUTCH / NEDERLANDS,POLISH / POLSKI,FINNISH / SUOMI,JAPANESE / 日本語,SIMPLIFIED CHINESE / 简体中文,TRADITIONAL CHINESE / 繁体中文,KOREAN / 한국어,CZECH / ČEŠTINA,HUNGARIAN / MAGYAR,ROMANIAN / ROMÂNĂ,THAI / ภาษาไทย,BULGARIAN / БЪЛГАРСКИ,עברית / HEBREW, العربية / ARABIC,BOSNIAN / bosanski jezik,Indonesian / Bahasa Indonesia,Afrikaans / Afrikaans,Basque / euskara,Belarusian / беларуская мова,Catalan / català,Estonian / eesti,Icelandic / Íslenska,Latvian / latviešu valoda        ,Lithuanian / lietuvių kalba,Slovak / Slovenčina,Slovenian / Slovenski jezik,Ukrainian / Українська,Vietnamese / Tiếng Việt
LANGUAGE_CODE_SHORT,Used by google translate,en,fr,es,de,it,pt,pt,ru,el,tr,da,no,sv,nl,pl,fi,ja,zh,zh,ko,cs,hu,ro,th,bg,he,ar,bs,id,af,eu,be,ca,et,is,lv,lt,sk,sl,uk,vi
Polyglot,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Update it from time to time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://docs.google.com/spreadsheets/d/17f0dQawb-s_Fd7DHgmVvJoEGDMH_yoSd8EYigrb0zmM/edit#gid=296134756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MENU_LANGUAGE_DIRECTION,ltr or rtl (text direction used by game code),ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,rtl,rtl,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr
MENU_LANGUAGE_THIS,"""MyLanguage"" in native text",English,Français,Español,Deutsch,Italiano,Português Brasileiro,Português,Pусский,Ελληνικά,Türkçe,Dansk,Norsk Bokmål,Svenska,Nederlands,Polski,Suomi,日本語,简体中文,繁體中文,한국어,Čeština,Magyar,Română,ภาษาไทย,Български,עברית,العربية,Bosanski,Bahasa Indonesia,Afrikaans,euskara,беларуская мова,català,eesti,Íslenska,latviešu valoda,lietuvių kalba,Slovenčina,Slovenski jezik,Українська,Tiếng Việt
MENU_LANGUAGE_THIS_EN,"""MyLanguage"" in english text",English,French,Spanish,German,Italian ,Portuguese (Brazil),Portuguese (Portugal),Russian,Greek,Turkish,Danish,Norwegian,Swedish,Dutch,Polish,Finnish,Japanese,Simplified Chinese,Traditional Chinese,Korean,Czech,Hungarian,Romanian,Thai,Bulgarian,Hebrew,Arabic,Bosnian,Indonesian,Afrikaans,Basque,Belarusian,Catalan,Estonian,Icelandic,Latvian,Lithuanian,Slovak,Slovenian,Ukrainian,Vietnamese
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTEXT_CHARACTER_CLASS,[Noun] Character class,Class,Classe,Clase,Klasse,Classe,Classe,Classe,Класс,Κλάση,Sınıf,Klasse,Klasse,Klass,Klasse,Klasa,Luokka,クラス,角色种类,角色類,직업,Třída,Osztály,Clasă,คลาส,Клас,טיפוס,فئة,Klasa,Kelas,Klas,Mota,Клас,Classificar,Klass,Class.,Klase,Klasė,Trieda,Razred,Клас,Lớp
CONTEXT_CHARACTER_DELETE,[Verb],Delete Character,Supprimer personnage,Eliminar personaje,Character löschen,Cancella personaggio,Deletar Personagem,Apagar personagem,Удалить персонажа,Διαγραφή Χαρακτήρα,Karakteri Sil,Slet karakter,Slett karakter,Radera karaktär,Verwijder Personage,Usuń Postać,Poista hahmo,キャラクター削除,删除角色,刪除角色,캐릭터 지우기,Smazat postavu,Karakter törlése,Șterge personaj,ลบตัวละคร,Изтриване на героя,למחוק דמות,حذف الشخصية,Obrisati Lika,Hapus karakter,Verwyder karakter,Ezabatu pertsonaia,Выдаліць сімвал,Suprimeix el caràcter,Kustuta märk,Eyða eðli,Dzēst rakstzīmi,Ištrinti simbolį,Vymazať znak,Izbriši znak,Видалити символ,Xóa ký tự
